timestamp,user_input,intent,confidence,spread_score,top_score,reason
2025-04-10T16:06:57.710352,I have a deep cut on my leg,emergency,0.5059,0.1058,0.8197,responded
2025-04-10T16:07:14.864857,He is not breathing,emergency,0.6831,0.0989,0.4802,disambiguated
2025-04-10T16:07:28.331152,My skin is blistered from hot oil,emergency,0.5358,0.0933,0.5127,disambiguated
2025-04-10T16:07:44.819331,He collapsed and is shaking,emergency,0.6934,0.0718,0.4392,disambiguated
2025-04-10T16:07:56.828242,There’s foam in his mouth and he’s unresponsive,emergency,0.7598,0.0740,0.4241,disambiguated
2025-04-10T16:08:03.460023,I hurt my leg,non_emergency,0.6263,0.0716,0.3859,fallback
2025-04-10T16:08:12.643277,I feel weird,emergency,0.5680,0.0279,0.2101,fallback
2025-04-10T16:08:17.421494,I injured something,non_emergency,0.5057,0.0665,0.3271,fallback
2025-04-10T16:08:23.279967,There’s an emergency in the hallway,emergency,0.5339,0.0542,0.3314,fallback
2025-04-10T16:08:30.345404,Something bad just happened,emergency,0.5079,0.0240,0.2565,vague_general
2025-04-10T16:08:34.960573,asdfghjkl,non_emergency,0.5001,0.0387,0.2061,fallback
2025-04-10T16:08:39.180510,12345@#!!,non_emergency,0.0000,0.0000,0.0000,gibberish
2025-04-10T16:08:43.252510,!!!!!,non_emergency,0.0000,0.0000,0.0000,gibberish
2025-04-10T16:08:48.865071,I love you,non_emergency,0.8286,0.0399,0.1435,fallback
2025-04-10T16:08:54.111914,Sing me a song,non_emergency,0.7571,0.0243,0.1884,vague_general
2025-04-10T16:08:58.224924,What is 2+2?,non_emergency,0.8148,0.0236,0.1512,vague_general
2025-04-10T16:09:09.875475,I am bleeding,emergency,0.6144,0.1198,0.8399,responded
2025-04-10T16:09:30.210655,My foot hurts and I don’t know what’s wrong,non_emergency,0.6095,0.0767,0.3858,fallback
2025-04-10T16:09:38.977927,He is unconscious and not moving,emergency,0.7457,0.0884,0.4929,disambiguated
2025-04-10T16:09:45.934590,Tell me a joke,non_emergency,0.8462,0.0289,0.1951,fallback
2025-04-10T16:09:50.299726,My finger is cut and bleeding,emergency,0.6369,0.1056,0.8137,responded
2025-04-10T16:09:58.987292,Zzzzzzz,non_emergency,0.5001,0.0300,0.1586,fallback
2025-04-10T19:02:01.855900,I have a deep cut on my hand,non_emergency,0.5391,0.0000,0.0000,non_emergency
2025-04-10T19:02:18.984628,My friend is not breathing and collapsed,emergency,0.6007,0.0927,0.5423,disambiguated
2025-04-10T19:02:30.068197,He touched hot metal and his skin is burned,emergency,0.7503,0.0712,0.5308,disambiguated
2025-04-10T19:02:37.701401,There's blood coming from my leg,emergency,0.5928,0.0564,0.3994,fallback
2025-04-10T19:02:42.874224,She fainted and isn't waking up,emergency,0.5675,0.0623,0.5461,responded
2025-04-10T19:02:51.575593,He's unconscious with no pulse,emergency,0.6853,0.1341,0.8569,responded
2025-04-10T19:03:00.749023,There’s a nail puncture on my foot,non_emergency,0.5539,0.0000,0.0000,non_emergency
2025-04-10T19:03:10.087690,His skin is peeling after chemical exposure,emergency,0.7786,0.0715,0.5644,disambiguated
2025-04-10T19:03:20.497958,I was stung and now can't breathe,emergency,0.6647,0.0753,0.4563,responded
2025-04-10T19:03:28.840015,He was electrocuted and isn't moving,emergency,0.6317,0.0861,0.7852,responded
2025-04-10T19:04:07.994419,I hurt my arm,non_emergency,0.6559,0.0000,0.0000,non_emergency
2025-04-10T19:04:13.604107,Something’s wrong,non_emergency,0.5057,0.0000,0.0000,non_emergency
2025-04-10T19:04:18.229379,I feel off today,non_emergency,0.5709,0.0000,0.0000,non_emergency
2025-04-10T19:04:22.769317,He’s acting weird,emergency,0.6038,0.0312,0.1597,fallback
2025-04-10T19:04:28.732599,I don’t feel right,emergency,0.5201,0.0250,0.2436,fallback
2025-04-10T19:04:32.700244,There’s a problem with my chest,non_emergency,0.5835,0.0000,0.0000,non_emergency
2025-04-10T19:04:36.732926,My foot hurts badly,non_emergency,0.5367,0.0000,0.0000,non_emergency
2025-04-10T19:04:42.139094,I can’t explain it but it feels bad,non_emergency,0.5115,0.0000,0.0000,non_emergency
2025-04-10T19:04:47.847958,It’s painful but I don’t know what happened,non_emergency,0.5692,0.0000,0.0000,non_emergency
2025-04-10T19:04:52.072618,My neck is sore after falling,non_emergency,0.5310,0.0000,0.0000,non_emergency
2025-04-10T19:04:56.492164,Tell me a joke,non_emergency,0.8462,0.0000,0.0000,non_emergency
2025-04-10T19:05:02.522801,What’s the weather like?,non_emergency,0.7632,0.0000,0.0000,non_emergency
2025-04-10T19:05:13.978100,Open Google,non_emergency,0.5412,0.0000,0.0000,non_emergency
2025-04-10T19:05:17.707019,I love you,non_emergency,0.8286,0.0000,0.0000,non_emergency
2025-04-10T19:05:21.912903,Play my favorite song,non_emergency,0.7869,0.0000,0.0000,non_emergency
2025-04-10T19:05:26.678422,Do you know Elon Musk?,non_emergency,0.8780,0.0000,0.0000,non_emergency
2025-04-10T19:05:30.879267,How are you feeling today?,non_emergency,0.7965,0.0000,0.0000,non_emergency
2025-04-10T19:05:37.727000,My favorite color is blue,non_emergency,0.7104,0.0000,0.0000,non_emergency
2025-04-10T19:05:42.586430,Who won the match last night?\,non_emergency,0.7499,0.0000,0.0000,non_emergency
2025-04-10T19:05:46.963729,Can you dance?,non_emergency,0.9147,0.0000,0.0000,non_emergency
2025-04-10T19:05:50.723440,asdfghjkl,non_emergency,0.5001,0.0000,0.0000,non_emergency
2025-04-10T19:05:54.162697,12345@#!!,non_emergency,0.0000,0.0000,0.0000,gibberish
2025-04-10T19:05:57.435309,...,non_emergency,0.0000,0.0000,0.0000,gibberish
2025-04-10T19:06:01.375431,!!!!,non_emergency,0.0000,0.0000,0.0000,gibberish
2025-04-10T20:44:23.822270,I hurt my hand,non_emergency,0.4661,0.0000,0.0000,hybrid_agreement
2025-04-10T21:09:03.264683,i hurt my hand,non_emergency,0.4661,0.0000,0.0000,hybrid_agreement
2025-04-10T21:09:16.544179,i hurt my leg and its bleeding,emergency,0.4968,0.0979,0.8005,hybrid_agreement
2025-04-10T21:09:57.896751,help someone is not breathing,emergency,0.5259,0.1054,0.5406,hybrid_agreement
2025-04-10T21:10:13.159011,afiyGFQAYQWFOYQW,non_emergency,0.3662,0.0000,0.0000,hybrid_agreement
2025-04-10T21:10:18.288859,TELL ME A JOKE,non_emergency,0.7280,0.0000,0.0000,hybrid_agreement
2025-04-10T21:10:53.526810,"Wikipedia[b] is a free-content online encyclopedia, written and maintained by a community of volunteers, known as Wikipedians, through open collaboration and the wiki software MediaWiki. Founded by Jimmy Wales and Larry Sanger on January 15, 2001, Wikipedia has been hosted since 2003 by the Wikimedia Foundation, an American nonprofit organization funded mainly by donations from readers.[3] Wikipedia is the largest and most-read reference work in history.[4][5]",non_emergency,0.0000,0.0000,0.0000,too_long
2025-04-10T21:10:53.535809,,non_emergency,0.0000,0.0000,0.0000,gibberish
2025-04-10T21:10:53.535809,"Initially available only in English, Wikipedia now exists in more than 300 languages. The English Wikipedia, with over 6 million articles, remains the largest of the editions, which together comprise more than 64 million articles and attract more than 1.5 billion unique device visits and 13 million edits per month (about 5 edits per second on average) as of April 2024.[W 1] As of March 2025, over 25% of Wikipedia's traffic comes from the United States, followed by Japan at 6.38%, the United Kingdom at 5.81%, Germany at 4.97%, Russia at 4.86%, and the remaining 52.25% split among other countries.[6]",non_emergency,0.0000,0.0000,0.0000,too_long
2025-04-10T21:10:53.536809,,non_emergency,0.0000,0.0000,0.0000,gibberish
2025-04-10T21:10:53.537810,"Wikipedia has been praised for enabling the democratization of knowledge, its extensive coverage, unique structure, and culture. Wikipedia has been censored by some national governments, ranging from specific pages to the entire site.[7][8] Although Wikipedia's volunteer editors have written extensively on a wide variety of topics, the encyclopedia has been criticized for systemic bias, such as a gender bias against women and geographical bias against the Global South (Eurocentrism).[9][10] While the reliability of Wikipedia was frequently criticized in the 2000s, it has improved over time, receiving greater praise from the late 2010s onward,[4][11][12] while becoming an important fact-checking site.[13][14] Articles on breaking news are often accessed as sources for up-to-date information about those events.[15][16]",non_emergency,0.0000,0.0000,0.0000,too_long
